City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,wanning,18.8003,110.3967,27.02,80,71,2.29,CN,1727483274
278,frouard,48.76,6.1316,11.56,92,75,2.06,FR,1727483307
279,wotho,10.1657,166.0102,28.62,78,33,5.75,MH,1727483309
280,saint-francois,46.4154,3.9054,11.69,90,100,3.6,FR,1727483310
281,san luis de la loma,17.2706,-100.8939,23.89,96,100,2.9,MX,1727483311
282,vanimo,-2.6741,141.3028,29.53,66,48,2.0,PG,1727483312
283,mount isa,-20.7333,139.5,26.87,13,0,4.63,AU,1727483314
284,puerto aysen,-45.4,-72.7,4.67,100,100,2.05,CL,1727483315
285,east london,-33.0153,27.9116,17.58,80,100,6.73,ZA,1727482758
286,buala,-8.145,159.5921,28.73,71,97,3.29,SB,1727483317
287,jieyang,23.5289,116.3642,28.96,83,43,0.21,CN,1727483320
288,ozubulu,5.9567,6.849,23.02,96,100,1.26,NG,1727483323
289,usogorsk,63.4106,48.6872,11.94,86,100,7.73,RU,1727483324
290,mata-utu,-13.2816,-176.1745,26.95,81,2,7.84,WF,1727483326
291,regente feijo,-22.2214,-51.3028,21.6,60,0,1.54,BR,1727483327
292,prineville,44.2999,-120.8345,28.06,32,0,3.09,US,1727483328
293,viedma,-40.8135,-62.9967,18.43,13,100,5.53,AR,1727483169
294,charters towers,-20.1,146.2667,26.37,21,0,3.2,AU,1727483331
295,hirara,24.8,125.2833,27.15,100,75,5.66,JP,1727483244
296,mogok,22.9167,96.5,18.96,99,99,0.84,MM,1727483333
297,altpinar,39.2042,32.7478,18.21,40,0,1.62,TR,1727483334
298,bonao,18.9369,-70.4092,24.08,95,79,0.99,DO,1727483335
299,vadso,70.0744,29.7487,6.49,87,100,7.2,NO,1727482839
300,ladario,-19.0047,-57.6017,23.28,52,6,1.67,BR,1727483338
301,kavieng,-2.5744,150.7967,28.91,71,51,1.68,PG,1727483339
302,ban houakhoua,20.2453,100.4547,23.29,95,47,0.2,LA,1727483340
303,inarajan village,13.2736,144.7484,31.33,84,100,3.69,GU,1727483342
304,utete,-7.986,38.758,20.13,96,19,0.81,TZ,1727483343
305,auki,-8.7676,160.7034,28.85,68,99,0.44,SB,1727483344
306,constantia,44.1833,28.65,16.5,87,1,5.08,RO,1727483345
307,haiku-pauwela,20.9219,-156.3051,29.01,72,91,11.18,US,1727483347
308,yangshuo,24.7808,110.4897,26.01,80,57,0.58,CN,1727483348
309,betio village,1.358,172.9211,32.02,69,74,5.47,KI,1727483349
310,mana,5.6592,-53.7767,27.0,87,58,3.14,GF,1727483350
311,cacoal,-11.4386,-61.4472,30.53,41,51,0.99,BR,1727483352
312,al mindak,20.1588,41.2834,21.78,25,50,2.1,SA,1727483353
313,ekibastuz,51.6667,75.3667,6.59,78,72,1.29,KZ,1727483354
314,daru,-9.0763,143.2092,28.38,73,60,4.63,PG,1727483355
315,novoishimskiy,53.1981,66.7694,9.22,68,28,2.8,KZ,1727483357
316,popondetta,-8.7537,148.2534,32.78,51,100,1.75,PG,1727483358
317,port macquarie,-31.4333,152.9167,17.26,77,100,1.34,AU,1727483359
318,praia da vitoria,38.7333,-27.0667,24.14,78,20,8.35,PT,1727483349
319,kristiansund,63.1115,7.732,5.03,89,75,1.03,NO,1727483362
320,quellon,-43.1167,-73.6167,8.54,94,99,3.51,CL,1727483363
321,oranjemund,-28.55,16.4333,14.0,87,99,2.61,NA,1727483364
322,coyhaique,-45.5752,-72.0662,3.45,99,84,3.96,CL,1727483365
323,san pedro del parana,-26.8333,-56.2,15.82,77,0,1.92,PY,1727483368
324,hithadhoo,-0.6,73.0833,28.18,75,89,5.71,MV,1727482826
325,tolanaro,-25.0319,46.9987,23.04,78,20,1.03,MG,1727482858
326,wuyishan,28.0047,117.8114,24.63,88,7,1.08,CN,1727483372
327,taoudenni,22.6783,-3.9836,34.76,28,22,5.79,ML,1727483373
328,bereket,39.2446,55.5154,14.78,13,100,6.63,TM,1727483374
329,ntcheu,-14.8203,34.6359,20.99,40,1,0.48,MW,1727483375
330,nar'yan-mar,67.6713,53.087,10.9,93,88,7.5,RU,1727483153
331,rucava,56.1585,21.1619,15.95,80,80,4.23,LV,1727483378
332,mount gambier,-37.8333,140.7667,16.97,43,67,6.2,AU,1727483379
333,akcaabat,41.0212,39.5715,20.93,64,40,4.12,TR,1727483380
334,arteche,12.2645,125.4048,27.71,82,90,2.44,PH,1727483382
335,chiang mai,18.75,99.0,26.04,89,75,1.54,TH,1727483300
336,shenkursk,62.1091,42.896,14.46,89,100,7.2,RU,1727483384
337,iyidere,41.0119,40.3619,20.98,76,0,2.06,TR,1727483385
338,port mathurin,-19.6833,63.4167,22.25,79,8,8.61,MU,1727482812
339,chonchi,-42.6128,-73.8092,9.56,97,88,2.08,CL,1727483388
340,christchurch,-43.5333,172.6333,14.67,63,80,0.66,NZ,1727483051
341,taulaga,-11.0553,-171.0883,28.09,74,86,6.62,AS,1727483390
342,cidreira,-30.1811,-50.2056,15.91,88,6,2.24,BR,1727483391
343,fuengirola,36.54,-4.6247,23.25,40,0,10.29,ES,1727483393
344,suva,-18.1416,178.4415,26.71,61,40,5.66,FJ,1727483394
345,khash,28.2211,61.2158,19.26,36,0,2.44,IR,1727483395
346,novodvinsk,64.4165,40.8122,13.86,89,100,5.31,RU,1727483398
347,forest city,28.6668,-81.4433,28.41,74,73,0.45,US,1727483399
348,kuching,1.55,110.3333,27.79,86,20,1.03,MY,1727483400
349,magistral'nyy,56.1725,107.4458,3.55,55,99,1.04,RU,1727483402
350,mermoz boabab,14.7065,-17.4758,26.31,94,0,2.06,SN,1727483403
351,bodo,67.28,14.405,4.02,89,75,4.63,NO,1727483405
352,polyarnyy,69.1989,33.4478,6.81,94,100,11.0,RU,1727483211
353,shanga,11.2106,4.5788,22.32,88,100,2.44,NG,1727483407
354,ipatovo,45.7181,42.9036,12.88,68,0,5.75,RU,1727483409
355,eyl,7.9803,49.8164,24.77,81,100,9.45,SO,1727483410
356,pueblo nuevo,23.3833,-105.3833,17.5,71,74,1.55,MX,1727483411
357,san jose del guaviare,2.5729,-72.6459,22.25,88,100,0.9,CO,1727483412
358,argostolion,38.1811,20.489,22.64,47,0,0.17,GR,1727483413
359,padul,37.018,-3.6693,11.4,64,7,2.29,ES,1727483415
360,springs,-26.25,28.4,18.57,21,76,3.43,ZA,1727483416
361,oum hadjer,13.2954,19.6966,29.71,35,94,3.19,TD,1727483419
362,cranbrook,49.4999,-115.7688,20.91,30,20,6.17,CA,1727483422
